keyword,CDT,CDT-translation,CDT-English-Post,,,,,,,
总书记+打车,1,secretary-general+hail a car,http://goo.gl/qyrPJ,,,,,,,
总书记+打的,1,secretary-general+hail a taxi,http://goo.gl/qyrPJ,,,,,,,
圣奴隶,1,saintly slaves,http://goo.gl/bqaRN,,,,,,,
耀邦,1,Yaobang,http://goo.gl/bqaRN,,,,,,,
24周年,1,24th anniversary,http://goo.gl/bqaRN,,,,,,,
改革派,1,reformist,http://goo.gl/bqaRN,,,,,,,
胡赵,1,Hu Zhao,http://goo.gl/bqaRN,,,,,,,
胡总书记,1,Secretary-General Hu,http://goo.gl/bqaRN,,,,,,,
纽约时报+宝宝,1,New York Times+baby,http://goo.gl/bqaRN,,,,,,,
任贤良,1,Ren Xianliang,http://goo.gl/UJJue,,,,,,,
该关就关,1,close those which must be closed,http://goo.gl/UJJue,,,,,,,
个人媒体+无法无天,1,individual media+defy both heaven and law,http://goo.gl/UJJue,,,,,,,
统筹两个舆论场,1,coordinate two spaces for public opinion,http://goo.gl/UJJue,,,,,,,
陕西省委宣传部,1,Shaanxi Provincial Party Committee Propaganda Department,http://goo.gl/UJJue,,,,,,,
陕西宣传部,1,Shaanxi Propaganda Department,http://goo.gl/UJJue,,,,,,,
马三家女子劳教所,1,Masanjia Women’s Labor Re-education Camp,http://goo.gl/MHfZZ,,,,,,,
十年前非典+十年后禽流感,1,SARS ten years ago+bird flu ten years later,http://goo.gl/MHfZZ,,,,,,,
竹席,1,bamboo mat,http://goo.gl/MHfZZ,,,,,,,
猪席,1,pig mat,http://goo.gl/MHfZZ,,,,,,,
主习,1,lord Xi,http://goo.gl/MHfZZ,,,,,,,
猪习,1,pig Xi,http://goo.gl/MHfZZ,,,,,,,
zhu习,1,zhu mat,http://goo.gl/MHfZZ,,,,,,,
习+facebook,1,Xi+facebook,http://goo.gl/irN2U,,,,,,,
习+脸谱,1,Xi+facebook,http://goo.gl/irN2U,,,,,,,
xi主席,1,Chairman xi,http://goo.gl/irN2U,,,,,,,
蛤蛤,1,Toady,http://goo.gl/irN2U,,,,,,,
蛤丝,1,Toad thread,http://goo.gl/irN2U,,,,,,,
蛤主席,1,Chairman Toad,http://goo.gl/irN2U,,,,,,,
戒严,1,martial law,http://goo.gl/irN2U,,,,,,,
国保,1,Domestic Security Department,http://goo.gl/irN2U,,,,,,,
一党执政,1,one party holds power,http://goo.gl/irN2U,,,,,,,
昆明+PX,1,Kunming+PX,http://goo.gl/z2eYY,,,,,,,
安宁+PX,1,Anning+PX,http://goo.gl/z2eYY,,,,,,,
抵制PX,1,boycott PX,http://goo.gl/z2eYY,,,,,,,
习boss,1,boss Xi,http://goo.gl/z2eYY,,,,,,,
习+国母,1,Xi+first lady,http://goo.gl/z2eYY,,,,,,,
习+彭,1,Xi+Peng,http://goo.gl/z2eYY,,,,,,,
习+假,1,Xi+fake,http://goo.gl/z2eYY,,,,,,,
习+王,1,Xi+king,http://goo.gl/z2eYY,,,,,,,
习+江,1,Xi+Jiang,http://goo.gl/z2eYY,,,,,,,
习+总,1,Xi+chief,http://goo.gl/z2eYY,,,,,,,
习+李,1,Xi+Li,http://goo.gl/z2eYY,,,,,,,
九总统,1,nine presidents,http://goo.gl/z2eYY,,,,,,,
hu+wen,1,hu+wen,http://goo.gl/z2eYY,,,,,,,
黄浦江+死猪,1,Huang River+dead pigs,http://goo.gl/z2eYY,,,,,,,
彭丽媛+同款,1,Peng Liyuan+similar items,http://goo.gl/z2eYY,,,,,,,
第一夫人+同款,1,first lady+similar items,http://goo.gl/z2eYY,,,,,,,
彭阿姨,1,Auntie Peng,http://goo.gl/z2eYY,,,,,,,
习+老,1,Xi+old,http://goo.gl/z2eYY,,,,,,,
江派,1,Jiang faction,http://goo.gl/z2eYY,,,,,,,
黄挖挖,1,Digger Huang,http://goo.gl/z58se,,,,,,,
黄WW,1,Huang WW,http://goo.gl/z58se,,,,,,,
黄新初+下课,1,Huang Xinchu + end class,http://goo.gl/z58se,,,,,,,
彭州+石化,1,Pengzhou + petrochemical industry,http://goo.gl/z58se,,,,,,,
涛宝,1,Tao-Bao,http://goo.gl/z58se,,,,,,,
席总,1,Chief Xi,http://goo.gl/z58se,,,,,,,
反对票,1,dissenting vote,http://goo.gl/2tzwG,,,,,,,
预测+领导人,1,predict + leaders,http://goo.gl/2tzwG,,,,,,,
预测+主席,1,predict + chairman,http://goo.gl/2tzwG,,,,,,,
预测+总理,1,predict + prime minister,http://goo.gl/2tzwG,,,,,,,
终身成就奖,1,lifetime achievement award,http://goo.gl/2tzwG,,,,,,,
权力+交接,1,power + handover,http://goo.gl/2tzwG,,,,,,,
胡习,1,Hu-Xi,http://goo.gl/2tzwG,,,,,,,
习胡,1,Xi-Hu,http://goo.gl/2tzwG,,,,,,,
猪投上海,1,pig-throw Shanghai,http://goo.gl/Fhfhp,,,,,,,
路透+数据库,1,Reuters + database,http://goo.gl/Fhfhp,,,,,,,
中国官场,1,Chinese officialdom,http://goo.gl/Fhfhp,,,,,,,
connected China,1,connected China,http://goo.gl/Fhfhp,,,,,,,
陈思思,1,Chen Sisi,http://goo.gl/Fhfhp,,,,,,,
瘟疫,1,pestilence,http://goo.gl/Kolv1,,,,,,,
揭阳,1,Jieyang,http://goo.gl/Kolv1,,,,,,,
揭西,1,Jiexi,http://goo.gl/Kolv1,,,,,,,
yu素鸡,1,yu veggie chicken,http://goo.gl/Kolv1,,,,,,,
蛤蟆精,1,Toad Spirit,http://goo.gl/Kolv1,,,,,,,
哄产党,1,Commu-kidding Party,http://goo.gl/Kolv1,,,,,,,
金人庆,1,Jin Renqing,http://goo.gl/Kolv1,,,,,,,
上浦,1,Shangpu,http://goo.gl/H6UGq,,,,,,,
棉湖,1,Mianhu,http://goo.gl/H6UGq,,,,,,,
误邦国,1,Wu Bangguo,http://goo.gl/H6UGq,,,,,,,
无邦国,1,Wu Bangguo,http://goo.gl/H6UGq,,,,,,,
吴绑国,1,Wu Bangguo,http://goo.gl/H6UGq,,,,,,,
吴帮国,1,Wu Bangguo,http://goo.gl/H6UGq,,,,,,,
无帮国,1,Wu Bangguo,http://goo.gl/H6UGq,,,,,,,
误帮国,1,Wu Bangguo,http://goo.gl/H6UGq,,,,,,,
新闻封锁,1,news blackout,http://goo.gl/H6UGq,,,,,,,
长春+禁令,1,Changchun + ban,http://goo.gl/rboRp,,,,,,,
长春+报道要求,1,Changchun + reporting requirements,http://goo.gl/rboRp,,,,,,,
接班,1,succeed,http://goo.gl/rboRp,,,,,,,
温家宝+卸任,1,Wen Jiabao + leave office,http://goo.gl/rboRp,,,,,,,
温+十年,1,Wen + ten years,http://goo.gl/rboRp,,,,,,,
执政+十年,1,govern + ten years,http://goo.gl/rboRp,,,,,,,
送温神,1,see off the god Wen,http://goo.gl/rboRp,,,,,,,
瘟神,1,the god of plague,http://goo.gl/rboRp,,,,,,,
X产党,1,Commun-x Party,http://goo.gl/rboRp,,,,,,,
沙逼+北京,1,sand c**t + Beijing,http://goo.gl/zOSWi,,,,,,,
两会+雷人,1,Two Sessions + shock,http://goo.gl/zOSWi,,,,,,,
五不搞,1,Five Do-Nots,http://goo.gl/zOSWi,,,,,,,
三个至上,1,Three Above-Alls,http://goo.gl/zOSWi,,,,,,,
影帝+谢幕,1,movie star + take a curtain call,http://goo.gl/zOSWi,,,,,,,
三鞠躬,1,three bows,http://goo.gl/zOSWi,,,,,,,
温家宝+房价,1,Wen Jiabao + housing prices,http://goo.gl/zOSWi,,,,,,,
影帝+wen,1,movie star + wen,http://goo.gl/zOSWi,,,,,,,
捍卫新闻自由,1,defend freedom of the press,http://goo.gl/zOSWi,,,,,,,
舆论钳制,1,suppression of public opinion,http://goo.gl/zOSWi,,,,,,,
王登朝,1,Wang Dengchao,,,,,,,,
朱瑞峰,1,Zhu Ruifeng,http://goo.gl/3aOKF,,,,,,,
体制外200万,1,2 million outside of the system,http://goo.gl/3aOKF,,,,,,,
体制外二百万,1,two million outside of the system,http://goo.gl/3aOKF,,,,,,,
去温,1,go warm,http://goo.gl/3aOKF,,,,,,,
刁总,1,President Sly,http://goo.gl/3aOKF,,,,,,,
刁主席,1,Chairman Sly,http://goo.gl/3aOKF,,,,,,,
贾不假,1,The Jia family is not fake,http://goo.gl/3aOKF,,,,,,,
白玉为堂金做马,1,white jade form the Halls; gold compose their horses,http://goo.gl/3aOKF,,,,,,,
我的奋斗,1,Mein Kampf,http://goo.gl/3aOKF,,,,,,,
月月鸟,1,Moon Moon Bird,http://goo.gl/3aOKF,,,,,,,
新京报社长,1,Beijing News president,http://goo.gl/Jm7kH,,,,,,,
XJB,1,XJB,http://goo.gl/Jm7kH,,,,,,,
戴自更,1,Dai Zigeng,http://goo.gl/Jm7kH,,,,,,,
戴社长,1,President Dai,http://goo.gl/Jm7kH,,,,,,,
社长+辞职,1,president + resign,http://goo.gl/Jm7kH,,,,,,,
新京报+辞职,1,Beijing News + resign,http://goo.gl/Jm7kH,,,,,,,
转载环球,1,reprint Global [Times],http://goo.gl/Jm7kH,,,,,,,
289,1,289,http://goo.gl/lYSwV,,,,,,,
报社,1,press office,http://goo.gl/lYSwV,,,,,,,
广州大道,1,Guangzhou Avenue,http://goo.gl/lYSwV,,,,,,,
献花,1,present flowers,http://goo.gl/lYSwV,,,,,,,
NF,1,NF,http://goo.gl/lYSwV,,,,,,,
nanzhou,1,nanzhou,http://goo.gl/lYSwV,,,,,,,
southern+weekend,1,southern + weekend,http://goo.gl/lYSwV,,,,,,,
共同声明,1,joint statement,http://goo.gl/lYSwV,,,,,,,
报禁,1,press prohibition,http://goo.gl/lYSwV,,,,,,,
新闻自由,1,freedom of the press,http://goo.gl/lYSwV,,,,,,,
贺词,1,message of greeting,http://goo.gl/2fGFU,,,,,,,
献词,1,dedication message,http://goo.gl/2fGFU,,,,,,,
违宪,1,violate the constitution,http://goo.gl/2fGFU,,,,,,,
南,1,south,http://goo.gl/2fGFU,,,,,,,
方,1,place,http://goo.gl/2fGFU,,,,,,,
周,1,week,http://goo.gl/2fGFU,,,,,,,
末,1,end,http://goo.gl/2fGFU,,,,,,,
nf+zm,1,nf + zm,http://goo.gl/2fGFU,,,,,,,
nanfang,1,nanfang,http://goo.gl/2fGFU,,,,,,,
读懂中国,1,read and understand China,http://goo.gl/2fGFU,,,,,,,
宪政,1,constitutionalism,http://goo.gl/2fGFU,,,,,,,
中国梦,1,China dream,http://goo.gl/2fGFU,,,,,,,
中宣,1,Central Propaganda [Department],http://goo.gl/2fGFU,,,,,,,
宣传部,1,Propaganda Department,http://goo.gl/2fGFU,,,,,,,
审查,1,censor,http://goo.gl/2fGFU,,,,,,,
庹,1,Tuo,http://goo.gl/f8P36,,,,,,,
坨,1,lump,http://goo.gl/f8P36,,,,,,,
2000+大禹治水,1,2000 + Yu the Great Controls the Waters,http://goo.gl/f8P36,,,,,,,
南周,1,Nan Zhou,http://goo.gl/f8P36,,,,,,,
南方周末,1,Southern Weekly,http://goo.gl/f8P36,,,,,,,
公开信,1,open letter,http://goo.gl/f8P36,,,,,,,
献词事件,1,New Year's greeting,http://goo.gl/f8P36,,,,,,,
庹震,1,Tuo Zhen,http://goo.gl/jHTEr,,,,,,,
坨震,1,Lump Zhen,http://goo.gl/jHTEr,,,,,,,
尺度,1,measure,http://goo.gl/jHTEr,,,,,,,
广东+宣传部,1,Guangdong + Propaganda Department,http://goo.gl/jHTEr,,,,,,,
南方周末+新年献词,1,Southern Weekly + New Year’s greeting,http://goo.gl/jHTEr,,,,,,,
南周+新年献词,1,Nan Zhou + New Year’s greeting,http://goo.gl/jHTEr,,,,,,,
中国梦+宪政梦,1,China dream + dream of constitutionalism,http://goo.gl/jHTEr,,,,,,,
牛妖,1,Ox Demon,http://goo.gl/hnW73,,,,,,,
戴相龙,1,Dai Xianglong,http://goo.gl/hnW73,,,,,,,
致敬十大反对者,1,Tribute to Ten Protesters,http://goo.gl/hnW73,,,,,,,
泰鸿公司,1,Taihong Co.,http://goo.gl/hnW73,,,,,,,
陈破空,1,Chen Pokong,http://goo.gl/hnW73,,,,,,,
李克强+PS,1,Li Keqiang + PS,http://goo.gl/F9a2h,,,,,,,
新华社+PS,1,Xinhua + PS,http://goo.gl/F9a2h,,,,,,,
俞正声+哥哥,1,Yu Zhengsheng + older brother,http://goo.gl/F9a2h,,,,,,,
俞正声+家族,1,Yu Zhengsheng + family,http://goo.gl/F9a2h,,,,,,,
张德江+动车,1,Zhang Dejiang + power car,http://goo.gl/F9a2h,,,,,,,
素鸡,1,veggie chicken,http://goo.gl/F9a2h,,,,,,,
全能神,1,Almighty God,http://goo.gl/F9a2h,,,,,,,
东方闪电,1,Eastern Lightning,http://goo.gl/F9a2h,,,,,,,
实际神,1,Real God,http://goo.gl/F9a2h,,,,,,,
长老,1,elders,http://goo.gl/F9a2h,,,,,,,
七常委,1,seven Standing Committee members,http://goo.gl/F9a2h,,,,,,,
长萎,1,long atrophy,http://goo.gl/F9a2h,,,,,,,
常萎,1,often atrophy,http://goo.gl/F9a2h,,,,,,,
河殇,1,River Elegy,http://goo.gl/F9a2h,,,,,,,
令JH,1,Ling JH,http://goo.gl/FgB6v,,,,,,,
谷丽萍,1,Gu Liping,http://goo.gl/FgB6v,,,,,,,
谷源旭,1,Gu Yuanxu,http://goo.gl/FgB6v,,,,,,,
周本顺,1,Zhou Benshun,http://goo.gl/FgB6v,,,,,,,
部长,1,department head,http://goo.gl/FgB6v,,,,,,,
中组部,1,Central Committee Organization Department,http://goo.gl/FgB6v,,,,,,,
刘奇葆,1,Liu Qibao,http://goo.gl/FgB6v,,,,,,,
新疆+切糕,1,Xinjiang + qiegao,http://goo.gl/FgB6v,,,,,,,
岳阳+切糕,1,Yueyang + qiegao,http://goo.gl/FgB6v,,,,,,,
切糕+16万,1,"qiegao + 160,000",http://goo.gl/FgB6v,,,,,,,
卫星锅盖,1,satellite dish,http://goo.gl/FgB6v,,,,,,,
李彦宏+离婚,1,Robin Li + divorce,http://goo.gl/6f2hn,,,,,,,
李彦宏+婚变,1,Robin Li + marriage crisis,http://goo.gl/6f2hn,,,,,,,
李彦宏+小三,1,Robin Li + mistress,http://goo.gl/6f2hn,,,,,,,
鸿忠+录音笔,1,Hongzhong + pen recorder,http://goo.gl/onN9z,,,,,,,
抢录音笔,1,grab the pen recorder,http://goo.gl/onN9z,,,,,,,
抢笔书记,1,pen-grabbing secretary,http://goo.gl/onN9z,,,,,,,
抢笔省长,1,pen-grabbing governor,http://goo.gl/onN9z,,,,,,,
录音笔事件,1,pen recorder incident,http://goo.gl/onN9z,,,,,,,
eighteen big,1,eighteen big,http://goo.gl/onN9z,,,,,,,
向巴平措,1,Qiangba Puncog,http://goo.gl/onN9z,,,,,,,
习JP,1,XiJP,http://goo.gl/uUxx2,,,,,,,
习书记,1,Secretary Xi,http://goo.gl/uUxx2,,,,,,,
习皇,1,Emperor Xi,http://goo.gl/uUxx2,,,,,,,
习夫人,1,Lady Xi,http://goo.gl/uUxx2,,,,,,,
皇后娘娘,1,Her Majesty the Empress,http://goo.gl/uUxx2,,,,,,,
第一夫人,1,First Lady,http://goo.gl/uUxx2,,,,,,,
彭夫人,1,Lady Peng,http://goo.gl/uUxx2,,,,,,,
dejiang,1,dejiang,http://goo.gl/uUxx2,,,,,,,
gaoli,1,gaoli,http://goo.gl/uUxx2,,,,,,,
jiaqinglin,1,jiaqinglin,http://goo.gl/uUxx2,,,,,,,
jinping,1,jinping,http://goo.gl/uUxx2,,,,,,,
keqiang,1,keqiang,http://goo.gl/uUxx2,,,,,,,
qishan,1,qishan,http://goo.gl/uUxx2,,,,,,,
wangyang,1,wangyang,http://goo.gl/uUxx2,,,,,,,
yunshan,1,yunshan,http://goo.gl/uUxx2,,,,,,,
zhengsheng,1,zhengsheng,http://goo.gl/uUxx2,,,,,,,
七巨头,1,Seven Chiefs,http://goo.gl/uUxx2,,,,,,,
李总理,1,Prime Minister Li,http://goo.gl/uUxx2,,,,,,,
金日成+大学,1,Kim Il-sung + university,http://goo.gl/uUxx2,,,,,,,
刘永清,1,Liu Yongqing,http://goo.gl/uUxx2,,,,,,,
温总理,1,Prime Minister Wen,http://goo.gl/uUxx2,,,,,,,
阎晶晶,1,Yan Jingjing,http://goo.gl/uUxx2,,,,,,,
薄温,1,Bo Wen,http://goo.gl/uUxx2,,,,,,,
开会+打架,1,hold a meeting + fight,http://goo.gl/hnloL,,,,,,,
会场+打架,1,assembly hall + fight,http://goo.gl/hnloL,,,,,,,
会后+打架,1,after the meeting + fight,http://goo.gl/hnloL,,,,,,,
登基,1,ascend the throne,http://goo.gl/hnloL,,,,,,,
内定,1,decide behind closed doors,http://goo.gl/hnloL,,,,,,,
习李,1,Xi-Li,http://goo.gl/hnloL,,,,,,,
裸腿,1,naked leg,http://goo.gl/hnloL,,,,,,,
裸退,1,naked retirement,http://goo.gl/hnloL,,,,,,,
七长老,1,Seven Elders,http://goo.gl/hnloL,,,,,,,
政治中心区,1,area of political importance,http://goo.gl/IbcE6,,,,,,,
出租车+填表,1,taxi + fill out a form,http://goo.gl/IbcE6,,,,,,,
出租车+长安街,1,taxi + Chang'an Avenue,http://goo.gl/IbcE6,,,,,,,
封闭车窗,1,seal off a car window,http://goo.gl/IbcE6,,,,,,,
出租车+窗,1,taxi + window,http://goo.gl/IbcE6,,,,,,,
公交车+窗,1,bus + window,http://goo.gl/IbcE6,,,,,,,
石八大,1,stone eight big,http://goo.gl/IbcE6,,,,,,,
石巴大,1,stone bar big,http://goo.gl/IbcE6,,,,,,,
斯巴达,1,Sparta,http://goo.gl/03DW5,,,,,,,
斯巴大,1,Sparbig,http://goo.gl/03DW5,,,,,,,
屎吧嗒,1,shit smack,http://goo.gl/03DW5,,,,,,,
屎粑大,1,the shit cake is big,http://goo.gl/03DW5,,,,,,,
思八达,1,think eight arrive,http://goo.gl/03DW5,,,,,,,
丝八大,1,thread eight big,http://goo.gl/03DW5,,,,,,,
丝巴大,1,thread bar big,http://goo.gl/03DW5,,,,,,,
撕八大,1,tear eight big,http://goo.gl/03DW5,,,,,,,
撕巴大,1,tear bar big,http://goo.gl/03DW5,,,,,,,
死八大,1,die eight big,http://goo.gl/03DW5,,,,,,,
死巴大,1,die bar big,http://goo.gl/03DW5,,,,,,,
范徐丽泰,1,Rita Fan,http://goo.gl/bRjhv,,,,,,,
2.7b,1,2.7b,http://goo.gl/bRjhv,,,,,,,
27+美元,1,27 + U.S. dollars,http://goo.gl/bRjhv,,,,,,,
王卫东,1,Wang Weidong,http://goo.gl/bRjhv,,,,,,,
白涛,1,Bai Tao,http://goo.gl/bRjhv,,,,,,,
纽时,1,Niu Shi,http://goo.gl/bRjhv,,,,,,,
扭腰times,1,Twisttimes,http://goo.gl/bRjhv,,,,,,,
刘奇,1,Liu Ji,http://goo.gl/7KcDQ,,,,,,,
王辉忠,1,Wang Huizhong,http://goo.gl/7KcDQ,,,,,,,
宁波+大学生,1,Ningbo + college student,http://goo.gl/7KcDQ,,,,,,,
宁波+追悼会,1,Ningbo + memorial service,http://goo.gl/7KcDQ,,,,,,,
宁波+公安局+王伟标,1,Ningbo + Public Security Bureau + Wang Weibiao,http://goo.gl/7KcDQ,,,,,,,
市长刘奇,1,Mayor Liu Ji,http://goo.gl/7KcDQ,,,,,,,
天一广场,1,Tianyi Square,http://goo.gl/7KcDQ,,,,,,,
wen+亿,1,wen + hundred million,http://goo.gl/7KcDQ,,,,,,,
wen+纽约,1,wen + New York,http://goo.gl/7KcDQ,,,,,,,
wen+家人,1,wen + family,http://goo.gl/7KcDQ,,,,,,,
wen+财产,1,wen + assets,http://goo.gl/7KcDQ,,,,,,,
wen+财富,1,wen + wealth,http://goo.gl/7KcDQ,,,,,,,
总理+家人,1,prime minister + family,http://goo.gl/7KcDQ,,,,,,,
总理+家族,1,prime minister + family,http://goo.gl/7KcDQ,,,,,,,
总理+财产,1,prime minister + assets,http://goo.gl/7KcDQ,,,,,,,
镇海,1,Zhenhai,http://goo.gl/CQACA,,,,,,,
PX,1,PX (paraxylene),http://goo.gl/CQACA,,,,,,,
我们要生存 我们要吃饭,1,"We want to survive, we want to get by",http://goo.gl/CQACA,,,,,,,
催泪弹,1,tear gas,http://goo.gl/CQACA,,,,,,,
集体上访,1,collectively petition officials,http://goo.gl/CQACA,,,,,,,
宁波+散步,1,Ningbo + take a walk,http://goo.gl/CQACA,,,,,,,
莺歌海,1,Yinggehai,http://goo.gl/CQACA,,,,,,,
赵连海,1,Zhao Lianhai,http://goo.gl/CQACA,,,,,,,
樊奇杭,1,Fan Qihang,http://goo.gl/CQACA,,,,,,,
纽约时报,1,New York Times,http://goo.gl/E6X18,,,,,,,
纽约SB,1,New York SB,http://goo.gl/E6X18,,,,,,,
扭腰时报,1,Twist Times,http://goo.gl/E6X18,,,,,,,
NY,1,NY,http://goo.gl/E6X18,,,,,,,
New York Times,1,New York Times,http://goo.gl/E6X18,,,,,,,
27亿,1,2.7 billion,http://goo.gl/E6X18,,,,,,,
温+财产,1,Wen + assets,http://goo.gl/E6X18,,,,,,,
温+财富,1,Wen + wealth,http://goo.gl/E6X18,,,,,,,
温+家族,1,Wen + family,http://goo.gl/E6X18,,,,,,,
温+总理,1,Wen + prime minister,http://goo.gl/E6X18,,,,,,,
温宝,1,Wen treasure,http://goo.gl/E6X18,,,,,,,
温党,1,Wen Party,http://goo.gl/E6X18,,,,,,,
温帝,1,Wen Emperor,http://goo.gl/E6X18,,,,,,,
影帝,1,movie star,http://goo.gl/E6X18,,,,,,,
温夫人,1,Lady Wen,http://goo.gl/E6X18,,,,,,,
温+钻石女王,1,Wen + diamond queen,http://goo.gl/E6X18,,,,,,,
杨志云,1,Yang Zhiyun,http://goo.gl/E6X18,,,,,,,
段伟红,1,Duan Weihong,http://goo.gl/E6X18,,,,,,,
戴梦得,1,Daimengde,http://goo.gl/E6X18,,,,,,,
温太子,1,Crown Prince Wen,http://goo.gl/E6X18,,,,,,,
温少爷,1,Young Master Wen,http://goo.gl/E6X18,,,,,,,
郑建源,1,Zheng Jianyuan,http://goo.gl/E6X18,,,,,,,
中国卫通,1,China Satellite Communications Corporation,http://goo.gl/E6X18,,,,,,,
创优科技,1,Excellence Science and Technology,http://goo.gl/E6X18,,,,,,,
新天域资本公司,1,New Horizon Capital,http://goo.gl/E6X18,,,,,,,
帝国+分裂,1,empire + break apart,http://goo.gl/u1uZH,,,,,,,
泸州交警,1,Luzhou traffic police,http://goo.gl/u1uZH,,,,,,,
泸州+骚乱,1,Luzhou + riot,http://goo.gl/u1uZH,,,,,,,
泸州+民愤,1,Luzhou + public anger,http://goo.gl/u1uZH,,,,,,,
保卫斯巴达,1,defend Sparta,http://goo.gl/u1uZH,,,,,,,
双开,1,double expulsion,http://goo.gl/L9oO6,,,,,,,
支持+薄,1,support + Bo,http://goo.gl/L9oO6,,,,,,,
拥护+薄,1,endorse + Bo,http://goo.gl/L9oO6,,,,,,,
挺+薄,1,endure + Bo,http://goo.gl/L9oO6,,,,,,,
18大+薄,1,18big + Bo,http://goo.gl/L9oO6,,,,,,,
十八（大）+薄,1,Eighteen (Big) + Bo,http://goo.gl/L9oO6,,,,,,,
重庆+薄,1,Chongqing + Bo,http://goo.gl/L9oO6,,,,,,,
王立军+薄,1,Wang Lijun + Bo,http://goo.gl/L9oO6,,,,,,,
入常,1,enter Standing Committee,http://goo.gl/L9oO6,,,,,,,
逼宫,1,force the king to abdicate,http://goo.gl/L9oO6,,,,,,,
胡德平,1,Hu Deping,http://goo.gl/L9oO6,,,,,,,
刁哥,1,Brother Sly,http://goo.gl/L9oO6,,,,,,,
坐轮椅出来,1,come out in a wheelchair,http://goo.gl/L9oO6,,,,,,,
北京+乱,1,Beijing + chaos,http://goo.gl/L9oO6,,,,,,,
库车,1,Kuqa,http://goo.gl/L9oO6,,,,,,,
婊叔,1,Prostitute Uncle,http://goo.gl/L9oO6,,,,,,,
李金（柱）,1,Li Jin(zhu),http://goo.gl/hNwmr,,,,,,,
（李）金柱,1,(Li) Jinzhu,http://goo.gl/hNwmr,,,,,,,
表哥,1,Watch Brother,http://goo.gl/hNwmr,,,,,,,
表叔,1,Watch Uncle,http://goo.gl/hNwmr,,,,,,,
李省长,1,Governor Li,http://goo.gl/hNwmr,,,,,,,
李副省长,1,Vice Governor Li,http://goo.gl/hNwmr,,,,,,,
反日,1,anti-Japan,http://goo.gl/Tw7tc,,,,,,,
抗日,1,anti-Japan,http://goo.gl/Tw7tc,,,,,,,
砸+车,1,smash + car,http://goo.gl/Tw7tc,,,,,,,
打砸,1,smash + car,http://goo.gl/Tw7tc,,,,,,,
吴龙,1,Wu Long,http://goo.gl/Tw7tc,,,,,,,
打砸抢,1,"beating, smashing and looting",http://goo.gl/HSc0V,,,,,,,
暴徒,1,thug,http://goo.gl/HSc0V,,,,,,,
封校,1,school closure,http://goo.gl/HSc0V,,,,,,,
亮马桥,1,Liangmaqiao,http://goo.gl/HSc0V,,,,,,,
焦国标,1,Jiao Guobiao,http://goo.gl/HSc0V,,,,,,,
王+成都,1,Wang + Chengdu,http://goo.gl/HSc0V,,,,,,,
肝癌,1,liver cancer,http://goo.gl/HSc0V,,,,,,,
背伤,1,back injury,http://goo.gl/jW2Ue,,,,,,,
皇储,1,crown prince,http://goo.gl/jW2Ue,,,,,,,
储君,1,crown prince,http://goo.gl/jW2Ue,,,,,,,
X近平,1,XJinping,http://goo.gl/jW2Ue,,,,,,,
jinping,1,jinping,http://goo.gl/jW2Ue,,,,,,,
近平+车祸,1,Jinping + car accident,http://goo.gl/jW2Ue,,,,,,,
国强+车祸,1,Guoqiang + car accident,http://goo.gl/jW2Ue,,,,,,,
HeGuoqiang,1,HeGuoqiang,http://goo.gl/jW2Ue,,,,,,,
百鸡王,1,King of the Hundred Chickens,http://goo.gl/jW2Ue,,,,,,,
国民教育,1,national education,http://goo.gl/JjThT,,,,,,,
国教科,1,national education course,http://goo.gl/JjThT,,,,,,,
政府总部,1,central government offices,http://goo.gl/JjThT,,,,,,,
政总,1,central government offices,http://goo.gl/JjThT,,,,,,,
罢课,1,student strike,http://goo.gl/JjThT,,,,,,,
鱼素鸡,1,FIsh Veggie Chicken,http://goo.gl/JjThT,,,,,,,
学民思潮,1,Scholarism,http://goo.gl/fQD2C,,,,,,,
双规,1,dual designation,http://goo.gl/fQD2C,,,,,,,
捅鸡局,1,Bureau of Dicking Around,http://goo.gl/fQD2C,,,,,,,
赵天韶,1,Zhao Tianshao,http://goo.gl/fQD2C,,,,,,,
顾纪祥,1,Gu Jiyang,http://goo.gl/fQD2C,,,,,,,
章丽霞,1,Zhang Lixia,http://goo.gl/fQD2C,,,,,,,
屁民报,1,Rabble News,http://goo.gl/fQD2C,,,,,,,
P民报,1,P People News,http://goo.gl/fQD2C,,,,,,,
替身,1,stand-in,http://goo.gl/SYrK2,,,,,,,
裸照,1,naked photos,http://goo.gl/SYrK2,,,,,,,
不雅照,1,vulgar photos,http://goo.gl/SYrK2,,,,,,,
温世珍,1,Wen Shizhen,http://goo.gl/SYrK2,,,,,,,
狐瘟,1,fox plague,http://goo.gl/SYrK2,,,,,,,
合肥+法院,1,Hefei + court,http://goo.gl/hURaf,,,,,,,
开庭,1,open court session,http://goo.gl/hURaf,,,,,,,
审理,1,try [a case],http://goo.gl/hURaf,,,,,,,
范承秀,1,Fan Chengxiu,http://goo.gl/hURaf,,,,,,,
毒杀,1,kill with poison,http://goo.gl/hURaf,,,,,,,
bo+guagua,1,bo+guagua,http://goo.gl/hURaf,,,,,,,
领馆,1,consulate,http://goo.gl/hURaf,,,,,,,
经济观察报+查封,1,Economic Observer + seize,http://goo.gl/UT44y,,,,,,,
内联网,1,intranet,http://goo.gl/UT44y,,,,,,,
卖淫,1,prostitution,http://goo.gl/UT44y,,,,,,,
