keyword,CDT,CDT-translation,CDT-English-Post,,,,,,,
中共政治局,1,Chinese Communist [Party] Politburo,http://wp.me/p2pAV0-J27,,,,,,,
南周事件,1,Southern Weekly incident,http://wp.me/p2pAV0-J27,,,,,,,
薄熙来＋器官,1,Bo Xilai+organs,http://wp.me/p2pAV0-J27,,,,,,,
H漫,1,H comics (hentai),http://wp.me/p2pAV0-J27,,,,,,,
凌辱,1,assault [a woman],http://wp.me/p2pAV0-J27,,,,,,,
puzhiqiang,1,puzhiqiang,http://wp.me/p2pAV0-IUW,,,,,,,
PZQ,1,PZQ,http://wp.me/p2pAV0-IUW,,,,,,,
习＋特勒,1,"Xi+tele [sounds like ""Hitler""]",http://wp.me/p2pAV0-IUW,,,,,,,
（习近平）讲话精神研究中心,1,(Xi Jinping) speech essence research center,http://wp.me/p2pAV0-IUW,,,,,,,
中国教父＋习（近平）,1,Chinese Godfather Xi (Jinping),http://wp.me/p2pAV0-IUW,,,,,,,
xijin(ping),1,xijin(ping),http://wp.me/p2pAV0-IUW,,,,,,,
潘涂＋村民,1,Pantu+villagers,http://wp.me/p2pAV0-IUW,,,,,,,
中泰＋垃圾焚烧,1,Zhongtai+garbage incineration,http://wp.me/p2pAV0-IUW,,,,,,,
常委＋贪腐,1,[Politburo] standing committee member+corrupt,http://wp.me/p2pAV0-IUW,,,,,,,
华润＋贺国强,1,China Resources+He Guoqiang,http://wp.me/p2pAV0-IUW,,,,,,,
性交易,1,sex trade,http://wp.me/p2pAV0-IUW,,,,,,,
傅部,1,Deputy Fu [Zhenghua],http://wp.me/p2pAV0-IUW,,,,,,,
付部,1,Deputy Fu [Zhenghua],http://wp.me/p2pAV0-IUW,,,,,,,
朱琳,1,Zhu Lin,http://wp.me/p2pAV0-IUW,,,,,,,
电婊,1,Electric Whore,http://wp.me/p2pAV0-IUW,,,,,,,
浦志强＋律师,1,Pu Zhiqiang+lawyer,http://wp.me/p2pAV0-IQ5,,,,,,,
浦志强＋失联,1,Pu Zhiqiang+lose contact,http://wp.me/p2pAV0-IQ5,,,,,,,
浦志强＋失踪,1,Pu Zhiqiang+missing,http://wp.me/p2pAV0-IQ5,,,,,,,
浦志强＋抄家,1,Pu Zhiqiang+search home and confiscate property,http://wp.me/p2pAV0-IQ5,,,,,,,
浦志强＋被抄,1,Pu Zhiqiang+be searched,http://wp.me/p2pAV0-IQ5,,,,,,,
哈儿律师＋失联,1,Lawyer Har+lose contact,http://wp.me/p2pAV0-IQ5,,,,,,,
哈儿律师＋失踪,1,Lawyer Har+missing,http://wp.me/p2pAV0-IQ5,,,,,,,
哈儿律师＋抄家,1,Lawyer Har+search home and confiscate property,http://wp.me/p2pAV0-IQ5,,,,,,,
浦＋律师＋失联,1,Pu+lawyer+lose contact,http://wp.me/p2pAV0-IQ5,,,,,,,
浦＋律师＋失踪,1,Pu+lawyer+missing,http://wp.me/p2pAV0-IQ5,,,,,,,
浦＋律师＋抄家,1,Pu+laywer+search home and confiscate property,http://wp.me/p2pAV0-IQ5,,,,,,,
陈一谘,1,Chen Yizi,http://wp.me/p2pAV0-IQ5,,,,,,,
乌鲁木齐＋悬赏,1,Urumqi+offer a reward,http://wp.me/p2pAV0-IQ5,,,,,,,
习＋爆炸,1,Xi+explosion,http://wp.me/p2pAV0-IMB,,,,,,,
曾庆红＋儿子,1,Zeng Qinghong+son,http://wp.me/p2pAV0-IMB,,,,,,,
曾庆红＋陈峰,1,Zeng Qinghong+Chen Feng,http://wp.me/p2pAV0-IMB,,,,,,,
曾庆红＋刘振亚,1,Zeng Qinghong+Liu Zhenya,http://wp.me/p2pAV0-IMB,,,,,,,
曾伟＋鲁能,1,Zeng Wei+Luneng,http://wp.me/p2pAV0-IMB,,,,,,,
王凤清＋侄女,1,Wang Fengqing+niece,http://wp.me/p2pAV0-IMB,,,,,,,
李克强＋王俊莲,1,Li Keqiang+Wang Junlian,http://wp.me/p2pAV0-IMB,,,,,,,
林昭＋无罪,1,Lin Zhao+innocent,http://wp.me/p2pAV0-IMB,,,,,,,
林昭＋苏州祭奠,1,Lin Zhao+Suzhou memorial rites,http://wp.me/p2pAV0-IMB,,,,,,,
毛＋鞭尸,1,Mao+beat the body of the dead,http://wp.me/p2pAV0-IMB,,,,,,,
毛＋僵尸,1,Mao+zombie,http://wp.me/p2pAV0-IMB,,,,,,,
毛＋屠夫,1,Mao+butcher,http://wp.me/p2pAV0-IMB,,,,,,,
毛＋屠杀,1,Mao+massacre,http://wp.me/p2pAV0-IMB,,,,,,,
腊肉＋纪念馆,1,cured meat+mausoleum,http://wp.me/p2pAV0-IMB,,,,,,,
三江＋十字架,1,Sanjiang+crucifix,http://wp.me/p2pAV0-IMB,,,,,,,
拆除＋十字架,1,demolish+crucifix,http://wp.me/p2pAV0-IMB,,,,,,,
林昭＋右派,1,Lin Zhao+rightist,http://wp.me/p2pAV0-IJz,,,,,,,
林昭＋扫墓,1,Lin Zhao+pay respects,http://wp.me/p2pAV0-IJz,,,,,,,
25周年纪念,1,25th anniversary commemoration,http://wp.me/p2pAV0-IJz,,,,,,,
王晓玲,1,Wang Xiaoling,http://wp.me/p2pAV0-IJz,,,,,,,
胡占凡＋被查,1,Hu Zhanfan+be investigated,http://wp.me/p2pAV0-IJz,,,,,,,
胡占凡＋内幕交易,1,Hu Zhanfan+insider trading,http://wp.me/p2pAV0-IJz,,,,,,,
（周）元根,1,(Zhou) Yuangen,http://wp.me/p2pAV0-IJz,,,,,,,
老老虎,1,old tiger,http://wp.me/p2pAV0-IJz,,,,,,,
old老虎,1,old tiger,http://wp.me/p2pAV0-IJz,,,,,,,
边境＋士兵,1,border+soldier,http://wp.me/p2pAV0-IJz,,,,,,,
持枪＋离队,1,carry firearms+break ranks,http://wp.me/p2pAV0-IJz,,,,,,,
诱惑,1,seduce,http://wp.me/p2pAV0-IJz,,,,,,,
色情,1,pornography,http://wp.me/p2pAV0-IJz,,,,,,,
女＋交,1,woman+associate,http://wp.me/p2pAV0-IJz,,,,,,,
杨佳＋我还有话要说,1,Yang Jia+When Night Falls,http://wp.me/p2pAV0-IGs,,,,,,,
杨佳＋电影,1,Yang Jia+film,http://wp.me/p2pAV0-IGs,,,,,,,
应亮＋我还有话要说,1,Ying Liang+When Night Falls,http://wp.me/p2pAV0-IGs,,,,,,,
应亮＋杨佳,1,Ying Liang+Yang Jia,http://wp.me/p2pAV0-IGs,,,,,,,
申维辰＋谭晶,1,Shen Weichen+Tan Jing,http://wp.me/p2pAV0-IGs,,,,,,,
柯玲玲,1,Ke Lingling,http://wp.me/p2pAV0-IGs,,,,,,,
习近平＋前妻,1,Xi Jinping+former wife,http://wp.me/p2pAV0-IGs,,,,,,,
刘卫国,1,Liu Weiguo,http://wp.me/p2pAV0-IGs,,,,,,,
丁家喜＋法院,1,Ding Jiaxi+court,http://wp.me/p2pAV0-IxP,,,,,,,
丁家喜＋旁听,1,Ding Jiaxi+observe [trial],http://wp.me/p2pAV0-IxP,,,,,,,
丁家喜＋财产公示,1,Ding Jiaxi+financial disclosure,http://wp.me/p2pAV0-IxP,,,,,,,
丁家喜＋官员财产,1,Ding Jiaxi+officials' assets,http://wp.me/p2pAV0-IxP,,,,,,,
李蔚＋法院,1,Li Wei+court,http://wp.me/p2pAV0-IxP,,,,,,,
李蔚＋旁听,1,Li Wei+observe [trial],http://wp.me/p2pAV0-IxP,,,,,,,
李蔚＋财产公示,1,Li Wei+financial disclosure,http://wp.me/p2pAV0-IxP,,,,,,,
李蔚＋官员财产,1,Li Wei+officials' assets,http://wp.me/p2pAV0-IxP,,,,,,,
公民＋运动,1,citizen+movement,http://wp.me/p2pAV0-IxP,,,,,,,
赵常青,1,Zhao Changqing,http://wp.me/p2pAV0-IxP,,,,,,,
茂名＋PX,1,Maoming+PX,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋P（X）,1,Maoming+P[X],http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋芳烃,1,Maoming+aromatic hydrocarbon,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋化工,1,Maoming+chemical industry,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋石化工程,1,Maoming+petrochemical engineering project,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋血腥,1,Maoming+bloody,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋警察,1,Maoming+police,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋坦克,1,Maoming+tank,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋屠杀,1,Maoming+massacre,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋冲突,1,Maoming+conflict,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋示威,1,Maoming+demonstration,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋游行,1,Maoming+march,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋聚集,1,Maoming+assemble,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名＋上街＋散步,1,Maoming+take to the streets+take a walk,http://wp.me/p2pAV0-Iwv,,,,,,,
maoming＋PX,1,maoming+PX,http://wp.me/p2pAV0-Iwv,,,,,,,
maoming＋上街＋散步,1,Maoming+take to the streets+take a walk,http://wp.me/p2pAV0-Iwv,,,,,,,
詹敏利,1,Zhan Muli,http://wp.me/p2pAV0-Iwv,,,,,,,
茂名,1,Maoming,http://wp.me/p2pAV0-ItM,,,,,,,
PX,1,PX,http://wp.me/p2pAV0-ItM,,,,,,,
三峡＋老虎,1,Three Gorges+tiger,http://wp.me/p2pAV0-ItM,,,,,,,
电力＋老虎,1,electric power+tiger,http://wp.me/p2pAV0-ItM,,,,,,,
张春贤＋国安委,1,Zhang Chunxian+National Security Commission,http://wp.me/p2pAV0-IkZ,,,,,,,
周元根,1,Zhou Yuangen,http://wp.me/p2pAV0-IkZ,,,,,,,
政局动荡,1,political upheaval,http://wp.me/p2pAV0-IkZ,,,,,,,
Freeweibo,1,Freeweibo,http://wp.me/p2pAV0-IkZ,,,,,,,
抛售人民币,1,undersell the Renminbi,http://wp.me/p2pAV0-IkZ,,,,,,,
藏青会,1,Tibetan Youth Congress,http://wp.me/p2pAV0-IkZ,,,,,,,
张凤梅＋裸体,1,Zhang Fengmei+naked,http://wp.me/p2pAV0-IkZ,,,,,,,
习＋集权,1,Xi+centralization of state power,http://wp.me/p2pAV0-IkZ,,,,,,,
习＋江,1,Xi+Jiang,http://wp.me/p2pAV0-IkZ,,,,,,,
席主席,1,President Mat,http://wp.me/p2pAV0-IkZ,,,,,,,
除习,1,remove Xi,http://wp.me/p2pAV0-IkZ,,,,,,,
毛＋皇帝,1,Mao+emperor,http://wp.me/p2pAV0-IkZ,,,,,,,
中南海＋（权）斗,1,Zhongnanhai+(power) struggle,http://wp.me/p2pAV0-IkZ,,,,,,,
新疆＋刀,1,Xinjiang+knife,http://wp.me/p2pAV0-Ig0,,,,,,,
新疆＋恐怖,1,Xinjiang+terror,http://wp.me/p2pAV0-Ig0,,,,,,,
新疆人＋桂林,1,Xinjianger+Guilin,http://wp.me/p2pAV0-Ig0,,,,,,,
维吾尔族＋砍,1,Uyghur+cut,http://wp.me/p2pAV0-Ig0,,,,,,,
桂林＋西门桥,1,Guilin+Ximenqiao,http://wp.me/p2pAV0-Ig0,,,,,,,
桂林火车站,1,Guilin train station,http://wp.me/p2pAV0-Ig0,,,,,,,
桂林西门桥＋宝马车司机,1,Guilin Ximenqiao+BMW driver,http://wp.me/p2pAV0-Ig0,,,,,,,
西门桥＋宝马车司机＋新疆疑犯,1,Ximenqiao+BMW driver+Xinjiang suspect,http://wp.me/p2pAV0-Ig0,,,,,,,
中国烈士旅,1,China Martyrs Brigade,http://wp.me/p2pAV0-Ig0,,,,,,,
皮帽子,1,pi maozi [fur hats],http://wp.me/p2pAV0-Ig0,,,,,,,
沈培平被调查＋贺国强,1,Shen Peiping under investigation+He Guoqiang,http://wp.me/p2pAV0-Ig0,,,,,,,
贺锦涛,1,He Jintao,http://wp.me/p2pAV0-Ig0,,,,,,,
刘霞＋软禁,1,Liu Xia+house arrest,http://wp.me/p2pAV0-Ig0,,,,,,,
曹顺利,1,Cao Shunli,http://wp.me/p2pAV0-Ig0,,,,,,,
捍卫新闻自由,1,defend freedom of the press,http://wp.me/p2pAV0-Ig0,,,,,,,
一审判决＋公民,1,one trial judgment+citizen,http://wp.me/p2pAV0-HYj,,,,,,,
丁家喜＋赵常青,1,Ding Jiaxi+Zhao Changqing,http://wp.me/p2pAV0-HYj,,,,,,,
李蔚＋袁冬,1,Li Wei+Yuan Dong,http://wp.me/p2pAV0-HYj,,,,,,,
侯欣＋法院,1,Hou Xin+court,http://wp.me/p2pAV0-HYj,,,,,,,
ICIJ,1,ICIJ [International Consortium of Investigative Journalists],http://wp.me/p2pAV0-HYj,,,,,,,
离岸＋维京,1,offshore+Virgin [Islands],http://wp.me/p2pAV0-HYj,,,,,,,
离岸＋金融,1,offshore+finances,http://wp.me/p2pAV0-HYj,,,,,,,
双规＋大老虎,1,shuanggui+big tiger,http://wp.me/p2pAV0-HYj,,,,,,,
逮捕＋大老虎,1,arrest+big tiger,http://wp.me/p2pAV0-HYj,,,,,,,
温老虎,1,Tiger Wen,http://wp.me/p2pAV0-HYj,,,,,,,
跑官,1,running official,http://wp.me/p2pAV0-HYj,,,,,,,
前核心,1,former inner circle,http://wp.me/p2pAV0-HYj,,,,,,,
杨洁篪＋辞职,1,Yang Jiechi+resign,http://wp.me/p2pAV0-HYj,,,,,,,
习＋最近严厉讲话,1,Xi+most recent stern speech,http://wp.me/p2pAV0-HYj,,,,,,,
傅某,1,a certain [person surnamed] Fu,http://wp.me/p2pAV0-HYj,,,,,,,
尚福林＋落网,1,Shang Fulin+be captured,http://wp.me/p2pAV0-HVZ,,,,,,,
尚福林＋落马,1,Shang Fulin+be eliminated (as in a contest),http://wp.me/p2pAV0-HVZ,,,,,,,
尚福林＋137亿,1,Shang Fulin+13.7 billion,http://wp.me/p2pAV0-HVZ,,,,,,,
尚福林＋敛财,1,Shang Fulin+gain wealth by unfair means,http://wp.me/p2pAV0-HVZ,,,,,,,
尚福林＋贪污,1,Shang Fulin+graft,http://wp.me/p2pAV0-HVZ,,,,,,,
尚福林＋巨贪,1,Shang Fulin+extremely corrupt,http://wp.me/p2pAV0-HVZ,,,,,,,
尚福林＋辞职,1,Shang Fulin+resign,http://wp.me/p2pAV0-HVZ,,,,,,,
尚福林＋被抓,1,Shang Fulin+be caught,http://wp.me/p2pAV0-HVZ,,,,,,,
蛤蟆＋死,1,toad+dead,http://wp.me/p2pAV0-HVZ,,,,,,,
蛤蟆＋病危,1,toad+critically ill,http://wp.me/p2pAV0-HVZ,,,,,,,
伊力哈木,1,Ilham,http://wp.me/p2pAV0-HFe,,,,,,,
宋彬彬＋文革,1,Song Binbin+Cultural Revolution,http://wp.me/p2pAV0-HFe,,,,,,,
李东生＋性贿赂,1,Li Dongsheng+sexual bribe,http://wp.me/p2pAV0-HFe,,,,,,,
性爱视频,1,sex tape,http://wp.me/p2pAV0-HFe,,,,,,,
人渣＋排行榜,1,scumbag+ranked list (shitlist),http://wp.me/p2pAV0-HFe,,,,,,,
解放军301+炸弹,1,PLA 301+bomb,http://wp.me/p2pAV0-HFe,,,,,,,
毛＋秦始皇,1,Mao+Qing Shi Huang,http://wp.me/p2pAV0-HFe,,,,,,,
毛＋杀人,1,Mao+homicide,http://wp.me/p2pAV0-HFe,,,,,,,
毛＋魔鬼,1,Mao+monster,http://wp.me/p2pAV0-HFe,,,,,,,
花园网,1,Garden Networks,http://wp.me/p2pAV0-HFe,,,,,,,
习上,1,On Xi,http://wp.me/p2pAV0-HFe,,,,,,,
陈光标＋第一桶金,1,Chen Guangbiao+first bucket of gold,http://wp.me/p2pAV0-HEG,,,,,,,
陈光标＋忽悠＋欺骗,1,Chen Guangbiao+trick+cheat,http://wp.me/p2pAV0-HEG,,,,,,,
小马奔腾＋大亨案,1,Galloping Horse [Film]+tycoon case,http://wp.me/p2pAV0-HEG,,,,,,,
小马奔腾＋董事长,1,Galloping Horse [Film]+chairman of the board,http://wp.me/p2pAV0-HEG,,,,,,,
李明＋小马奔腾,1,Li Ming+Galloping Horse [Film],http://wp.me/p2pAV0-HEG,,,,,,,
李明＋公安部,1,Li Ming+Public Security Bureau,http://wp.me/p2pAV0-HEG,,,,,,,
李明＋李东生,1,Li Ming+Li Dongsheng,http://wp.me/p2pAV0-HEG,,,,,,,
李明＋调查,1,Li Ming+investigation,http://wp.me/p2pAV0-HEG,,,,,,,
北京公安局长,1,Beijing Public Security Bureau Director,http://wp.me/p2pAV0-HEG,,,,,,,
香港商报＋中纪委,1,Hong Kong Commercial Daily+Central Discipline Commission,http://wp.me/p2pAV0-HEG,,,,,,,
中纪委＋大老虎,1,Central Discipline Commission+big tiger,http://wp.me/p2pAV0-HEG,,,,,,,
常委＋财产,1,Standing Committee member+assets,http://wp.me/p2pAV0-HEG,,,,,,,
方便面＋抓,1,instant noodles+grab,http://wp.me/p2pAV0-HEG,,,,,,,
